-266,-132,-131,-120
94,297,-193,195
-131,-250,163,-148
-137,107,-157,-148
-50,156,-63,106
-296,-32,-195,197
261,10,10,-157
98,281,147,-119
-35,245,109,-190
-272,-13,2,-154
-254,-233,79,116
-318,-137,158,-68
-89,-152,-2,-194
110,300,-28,-104
226,53,59,57
11,227,161,182
103,155,121,-119
-300,293,154,-105
72,350,-18,-7
176,294,100,9
-139,259,-63,-116
158,-257,155,-26
192,-62,14,-143
-168,-87,70,-87
78,270,-102,84
-133,-143,4,-45
51,324,146,108
74,119,165,-171
325,281,-63,54
186,114,-47,111
6,197,198,-76
-274,-229,-126,-52
-263,252,156,40
-213,-201,-104,-148
264,169,49,-194
32,177,-160,108
343,-173,-3,-31
-41,284,-80,100
-153,-272,55,45
-301,-178,-169,-10
23,-263,-67,131
-282,87,-78,-26
-339,276,-136,127
-192,-185,-37,136
102,-351,37,165
-78,-126,-120,89
-108,349,24,192
-73,20,133,85
85,-287,-130,-198
180,-129,178,20
244,329,133,177
136,65,-66,-130
285,-295,-99,-199
-32,-351,152,-27
-8,33,18,192
-293,263,117,120
-16,256,117,49
141,275,175,63
345,14,178,59
221,245,77,78
211,-308,196,-139
-190,146,159,-53
-245,-116,52,-118
290,60,49,19
-255,342,-51,-107
1,-225,-57,-111
216,64,13,131
-234,-67,-174,-8
87,350,-194,-77
243,220,147,-136
-290,-40,172,16
63,-295,-131,188
-71,-143,-58,-56
-52,161,147,42
-333,291,-4,-111
-280,-314,138,-183
60,199,-18,-133
58,-168,172,3
-329,296,-183,37
342,-16,-64,-145
-75,-219,-88,-4
-300,166,-30,-135
-77,52,173,57
48,217,-168,-96
129,4,24,148
-144,353,194,-66
-199,133,-131,-1
265,-42,-3,19
211,-59,52,77
104,12,10,67
-313,-280,-59,-112
-111,190,-177,199
-182,253,10,-53
239,-352,-189,40
-245,-46,-140,-155
-282,-236,7,-159
-294,122,197,39
307,53,-141,-32
-317,41,77,-133
-336,-99,-57,130
150,280,180,-6
-90,-46,24,-12
298,-247,57,-94
-139,325,-96,-124
-57,-142,30,147
-188,-183,107,-97
206,277,131,-185
181,48,39,177
-276,-123,143,142
162,-272,95,42
-247,215,-27,117
32,-67,139,-120
-77,271,182,13
87,-352,169,45
-66,240,29,142
50,268,149,191
139,-326,-143,-189
-206,-108,-55,64
274,-70,-22,188
299,-239,79,100
185,137,-38,51
-335,-131,-87,55
-79,-327,-8,52
58,0,167,170
-200,108,146,70
-73,-296,118,-111
