-287,231,192,136
132,53,-184,-20
-98,-160,-191,-129
-317,190,177,-145
-175,145,-24,32
-335,-269,170,-152
-216,354,48,162
-341,83,-189,3
287,-200,-155,92
143,65,152,-181
-250,-19,-21,119
139,-114,40,171
-57,208,-91,-175
-304,-87,-54,-134
302,260,-14,30
-61,74,-186,42
41,-174,-36,-136
-78,142,-33,-142
38,312,92,67
-195,-50,-103,79
-111,-17,-67,37
118,205,-34,-44
-115,-276,48,140
259,41,25,9
-174,143,15,-64
-255,-6,-93,96
-157,141,-185,-139
-300,241,185,170
-25,-38,-200,186
300,-23,-56,-50
-251,340,148,160
-242,-309,-193,-3
-178,-50,60,-126
291,-312,-123,134
141,119,196,130
86,180,-153,41
297,64,-41,134
287,-332,-5,-129
118,121,-68,-141
98,-136,-154,-17
-282,-206,45,-157
-344,-311,3,-1
-288,212,-35,-189
253,-329,91,166
349,67,-31,5
118,-215,26,54
-331,106,120,49
147,343,111,52
26,-203,-80,1
45,302,-173,183
229,-351,34,-193
-318,206,-151,17
38,43,-164,140
-57,225,26,17
-25,-234,183,12
-291,-94,-113,-114
89,212,-165,14
17,144,140,-11
151,-159,-67,184
-328,168,-55,114
306,-54,16,-178
-53,-34,-175,-159
180,-136,76,95
-314,-348,-44,-62
315,-332,-26,162
308,200,133,-20
70,39,-95,93
57,-336,153,-59
-32,-325,7,-25
192,87,-180,30
-225,-238,-59,-180
-239,-202,106,-160
-159,299,139,68
-80,94,-100,-171
37,243,114,56
-202,203,-109,-98
-33,-66,-4,94
313,-230,165,191
-21,-234,-92,146
-230,-221,-5,104
56,-312,142,23
312,-67,78,-93
130,-327,53,-99
299,-179,-73,145
-27,-214,-178,-9
45,-55,19,-70
-99,-299,92,-37
62,148,-71,162
292,-280,141,-187
-279,-39,171,-198
295,37,21,150
240,-90,162,11
1,126,-69,-180
38,-261,-126,-91
-45,328,77,76
11,107,79,-129
-178,-84,-60,-149
-37,102,52,137
-300,-2,-158,-190
-229,-9,-104,49
