71,-175,-21,-7
245,-200,183,-147
19,253,-141,-192
262,-56,47,-28
-158,-49,-101,-74
272,-337,-69,177
-54,-115,-198,-96
77,319,53,-104
14,14,88,-48
74,-33,-12,91
127,194,26,110
-208,-209,101,175
-177,328,-128,-139
-316,308,-66,-162
-238,-50,-15,136
-185,10,-45,-43
291,119,-14,-129
264,110,-142,-77
24,265,98,-69
-153,-355,44,57
-89,-82,-154,-162
272,-183,-4,-132
-145,-75,-135,-192
-133,109,-124,-16
-33,-237,-159,171
150,-2,-68,-110
-66,59,-98,-120
-62,237,157,-133
-67,-121,116,120
-299,322,-15,173
335,-89,123,-16
142,-166,-189,110
-30,85,123,59
273,-347,-113,-13
8,-201,-50,-18
-166,-47,-126,196
-201,-92,-50,-39
-160,-154,7,-43
-173,113,-166,-193
-167,142,171,109
164,-86,-107,-134
247,255,56,178
147,-20,139,-69
89,149,103,185
-250,127,-10,-116
97,217,-57,86
-133,-266,46,93
168,-290,-7,-32
183,260,185,103
-163,-170,28,-135
