-160,242,-164,103
-7,-285,-94,122
-291,-331,-89,175
-76,113,-160,-77
-311,-323,-50,-43
56,272,-74,-86
-220,135,-147,170
161,-264,100,64
-153,-156,-176,23
-49,246,163,-183
-13,79,-45,-10
-141,81,-178,141
-235,-153,156,-22
49,242,32,-190
-328,253,162,113
-220,244,-119,-157
178,-325,-198,82
-75,-297,194,29
-196,269,156,168
-53,191,-50,-56
-338,79,-101,-173
-125,-332,-33,-129
-62,-227,184,-69
-241,52,-146,-139
15,323,-148,-86
-207,-79,-82,68
142,287,-109,88
-148,-295,13,-188
61,90,21,-158
319,264,-73,-65
196,-38,-153,-130
-38,156,36,-76
-302,74,-177,182
-326,-159,-169,-107
216,197,38,-88
144,244,152,-72
-173,-118,-110,64
-293,250,-43,-134
138,-235,139,124
253,335,-183,190
-162,130,-38,-53
-288,-138,-85,86
-197,-243,13,-11
-254,-13,-165,193
230,-228,-122,-67
-152,-245,2,114
167,184,195,43
243,192,158,-42
-177,309,26,179
-34,-182,-31,144
170,-71,-54,189
287,-314,125,-75
332,-143,94,75
-25,-260,42,194
261,-286,-27,159
-220,333,-194,-23
59,53,156,-173
-183,178,-35,124
45,-154,59,-63
268,328,107,-26
262,-322,35,21
-32,-173,104,-74
173,-279,133,-95
105,-6,154,-22
26,93,-122,-56
-217,236,36,-94
335,146,52,96
168,272,129,77
96,286,-77,-187
134,263,167,76
339,40,41,-90
-87,103,141,-192
215,229,-38,70
37,-173,-77,-58
-350,-205,179,159
-292,327,108,34
303,-235,-70,46
70,246,44,-102
-291,29,45,195
-93,-172,-143,-97
214,-111,-185,175
252,-314,-97,156
154,189,176,-139
87,-351,167,130
-57,269,118,-9
37,47,-129,97
-212,97,-103,-177
314,-161,119,-104
-133,335,121,-196
298,-207,-170,78
-278,339,52,192
-1,213,-4,-71
56,-178,2,-8
298,264,-47,-47
-71,-183,188,-122
214,338,30,191
308,-315,-74,181
167,118,-147,-183
249,-310,156,193
85,-312,-21,180
-285,260,134,78
20,-142,-86,-114
-64,-51,-127,-120
107,199,182,-12
297,-171,-68,-108
154,-274,-36,-148
238,-107,-186,-114
-188,-144,-167,-27
-14,303,121,131
59,-195,51,-18
111,72,-157,141
-38,250,-23,173
262,-209,157,53
82,8,155,113
340,347,-23,34
228,-164,31,29
309,-25,-158,-8
36,-34,-1,-175
41,-221,24,-141
231,-301,57,-80
333,-181,10,133
-126,-254,190,-148
113,210,-189,-13
9,-284,168,171
229,58,-200,33
253,336,149,-68
-129,-15,153,-2
353,139,43,71
-309,25,-19,-20
-237,-206,92,-130
110,-77,101,42
-355,90,192,-21
216,-214,175,-20
197,-285,-23,-200
80,279,156,120
223,50,92,8
-78,139,-10,157
340,294,167,29
9,-342,-142,-47
226,81,56,128
146,-283,-146,-166
61,166,-183,-72
189,38,-128,-175
108,31,115,128
-84,7,69,69
294,4,25,-136
-81,254,44,23
-142,294,-155,-73
-3,296,158,-122
315,10,-137,-105
242,-92,-86,134
78,-350,-129,-103
97,39,-167,-15
-208,-171,156,-33
-207,227,-158,-193
-165,-329,18,-26
75,-203,21,92
-165,207,-4,-46
281,-5,-165,157
-320,237,-142,51
223,-39,-50,57
107,-281,83,-173
103,234,-57,154
289,115,88,113
198,-150,190,102
337,-269,-49,-175
274,-301,128,192
238,125,-192,-135
-189,-279,-180,132
-270,141,188,137
9,-76,-29,-177
-41,317,99,-57
-23,107,113,92
47,107,85,142
13,292,-114,18
277,-117,-126,102
-49,-288,-146,-172
-293,282,-69,106
-243,-96,110,-11
116,-312,-94,-114
345,179,-140,9
18,24,183,-182
-353,167,185,9
-39,-272,167,83
-257,-347,-188,45
60,-208,-119,-51
-60,-314,123,-107
9,236,87,89
309,267,149,88
86,-340,18,-39
226,-152,146,-52
185,45,-142,-168
-79,-330,6,138
-354,-187,124,83
173,24,42,-45
254,-221,-183,-61
-132,-275,-165,-119
-65,275,161,26
-291,-128,89,-50
291,-85,81,88
-157,-225,-138,93
-97,-302,165,38
-98,-18,-183,-63
249,94,9,31
75,151,-177,-80
164,-107,196,-192
240,-163,3,145
-352,151,78,-61
-14,37,-193,65
286,-255,82,95
333,38,-166,28
336,173,-20,-59
-37,-184,195,155
151,237,21,-44
191,139,-195,130
-243,-235,-125,-26
-11,-84,-55,-77
-3,99,126,-131
-221,-176,-98,114
-240,247,-74,-48
-195,-6,187,-97
46,144,60,-39
-315,73,-179,124
37,258,-190,155
226,26,-12,118
-243,-256,-194,-92
208,255,95,-139
27,176,-184,-153
-79,180,155,106
246,299,-67,45
268,-223,7,170
274,-294,-35,-144
148,-315,-59,-89
206,-248,195,32
100,47,-190,-194
-220,-293,-107,-75
102,-14,-90,158
219,190,148,144
4,-115,145,-102
318,256,-34,138
18,2,1,55
144,-303,186,194
-347,-176,73,-7
-312,-217,-128,185
-249,-264,134,-117
115,326,-66,-37
-286,-39,142,-177
-134,327,-183,-28
-80,16,-55,12
305,145,195,-100
